"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"wicked book","2M+","November 20, 2024 at 10:00:00 PM UTC-5",,"wicked book,elphaba,wicked musical,wicked trailer,wicked,wicked part two,wicked movie,wicked part 2,wizard of oz,what is wicked about,wicked broadway,idina menzel,wicked run time,wicked part 2 release date,wicked movie reviews,wicked musical movie,musical wicked movie,cynthia erivo,wicked plot,liza minnelli,glinda,wicked movie times,wicked rotten tomatoes,wicked movies,wicked the movie,when is wicked part 2 coming out,wicked soundtrack,wicked movie soundtrack,wicked 2,wicked play,ariana grande wicked,wicked movie release date,fiyero,stephen schwartz,wicked soundtrack 2024,when is wicked 2 coming out,wicked post credit scene","https://trends.google.com/trends/explore?q=wicked%20book&geo=US&hl=en"
"moana 2","1M+","November 22, 2024 at 7:20:00 AM UTC-5",,"moana 2,moana 2 release date,when does moana 2 come out,moana,moana 2 reviews,moana 2 trailer,moana 2 cast,moana 2 rotten tomatoes,when is moana 2 coming out,moana 2 disney,moana movie,moana 2 credits scene,dwayne johnson,lin manuel miranda,moana 1","https://trends.google.com/trends/explore?q=moana%202&geo=US&hl=en"
"who won dancing with the stars 2024","1M+","November 25, 2024 at 10:00:00 PM UTC-5",,"who won dancing with the stars 2024,dancing with the stars finale,dwts finale,joey graziadei,who won dancing with the stars,jenna johnson,dancing with the stars winner,who won dwts 2024,who won dwts,dancing with the stars,ilona maher,dwts,dwts finale 2024,dancing with the stars 2024,chandler kinney,dwts winner,dwts winner 2024,dancing with the stars finale 2024,ilona maher dancing with the stars,dwts winners,dancing with the stars voting,joey dancing with the stars,winner of dancing with the stars 2024,len goodman,chandler dancing with the stars,dwts vote,dancing with the stars winners,dancing with the stars vote,dancing with the stars winners 2024,dwts voting,dancing with the stars 2024 winner,who wins dancing with the stars 2024,where to watch dancing with the stars,how to vote for dancing with the stars,vote dancing with the stars,abc.com,what time is dancing with the stars on,dancing with the stars live,dwts finale time,abc dancing with the stars,dancing with the stars finale time,chandler dwts,who.won dancing with the stars 2024,dancing with the stars 2024 cast,abc dancing with the stars vote,how to vote dancing with the stars,who won dancing with the stars last night,who won dancing with the stars tonight,has jenna johnson ever won dwts,dancing with the stars 2024 voting,vote dwts,danny dancing with the stars,has jenna won dwts,abc dwts vote,joey and jenna dancing with the stars,dancing with the stars winner 2024,what time does dancing with the stars start,dancing with the stars cast,ilona maher partner,dwts results,dwts finale 2024 winner,joey dwts,how long is dwts finale,what time is dancing with the stars on tonight,how to watch dancing with the stars live,how to vote dwts,who is joey graziadei,dwts live,who won dwts season 33,how long is the dwts finale,dwts season 33,how many times has jenna won dwts,dwts number,jenna johnson dwts,dancing with the stars results,dwts finale winner,how long is dancing with the stars finale,vote for dancing with the stars,dancing with the stars finalists,dancing with the stars finale winner,how many times has jenna johnson won dwts,what time is dwts finale,who won dancing with the stars 2024 tonight,voting dancing with the stars,joey graziadei and jenna johnson,sochi dancing with the stars,jenna dancing with the stars,dwts 2024 winner,how to vote on dancing with the stars,dwts season 33 winner,what time does dwts finale start,dancing with stars voting,joey graziadei dancing with the stars,has jenna won a mirror ball,who won dancing with the stars season 33,dwts cast 2024,where to watch dancing with the stars live,who won the mirrorball 2024,dwts 2023 winner,who won dancing with the stars 2023,has jenna won dancing with the stars,how long is the dancing with the stars finale,jenna dwts,joey bachelor,where to watch dwts live,dwts cast,val dancing with the stars,what time does dancing with the stars come on,who won season 33 of dancing with the stars,dancing with the stars season 33,voting for dancing with the stars,brandon dwts,where can i watch dancing with the stars,vote dancing with the stars 2024,when does dancing with the stars start,how to vote for dwts,dwts chandler,where to watch dwts","https://trends.google.com/trends/explore?q=who%20won%20dancing%20with%20the%20stars%202024&geo=US&hl=en"
"pam bondi","1M+","November 21, 2024 at 1:40:00 PM UTC-5",,"pam bondi","https://trends.google.com/trends/explore?q=pam%20bondi&geo=US&hl=en"
"lake effect snow warning","1M+","November 27, 2024 at 12:20:00 PM UTC-5",,"lake effect snow warning,thanksgiving,thanksgiving weather forecast snow storm,thanksgiving winter storm forecast snow,thanks giving,weather,wmur,wmur weather,winter storm warning,weather forecast snow storm,snow storm weather forecast,winter storm snow forecast,weather philadelphia,weather atlanta,thanksgiving day,philadelphia weather,thanksgiving week,northeast snow storm,thanksgiving weather forecast,weather new york,weather boston,snow storm,weatherbug","https://trends.google.com/trends/explore?q=lake%20effect%20snow%20warning&geo=US&hl=en"
"butterball turkey","500K+","November 24, 2024 at 8:20:00 AM UTC-5",,"butterball turkey,butterball turkey recall,butterball,butterball turkey sa,butterball turkeys,turkey,butterball turkey recall 2024,peta,turkeys,butterball turkey recall november 2024","https://trends.google.com/trends/explore?q=butterball%20turkey&geo=US&hl=en"
"champions league","500K+","November 25, 2024 at 7:00:00 AM UTC-5",,"champions league,uefa champions league,champions league standings,liverpool vs real madrid,real madrid vs liverpool,madrid vs liverpool","https://trends.google.com/trends/explore?q=champions%20league&geo=US&hl=en"
"kendrick lamar","500K+","November 22, 2024 at 11:30:00 AM UTC-5",,"kendrick lamar,drake,drake lawsuit,jalen rose,universal music kendrick lamar,not like us,drake sues umg,not like us lyrics,drake suing umg and kendrick,drake sues lamar","https://trends.google.com/trends/explore?q=kendrick%20lamar&geo=US&hl=en"
"best black friday deals","500K+","November 20, 2024 at 11:10:00 PM UTC-5",,"best black friday deals,best buy black friday,best black friday deals 2024,black friday deals 2024,home goods,black friday deals,black friday sales,amazon black friday deals,amazon black friday,deals black friday,shop,zara black friday,black friday ads 2024,friday,best amazon black friday deals,black friday,when is black friday 2024,when is black friday,amazon black friday deals 2024,best,wirecutter,best buy black friday 2024,black friday ads","https://trends.google.com/trends/explore?q=best%20black%20friday%20deals&geo=US&hl=en"
"gnx","500K+","November 22, 2024 at 11:40:00 AM UTC-5",,"gnx,kendrick lamar new album,gnx car,gnx kendrick lamar,kendrick lamar gnx,wayne,lil wayne,reincarnated kendrick,buick gnx,jack antonoff,kendrick,gnx features,kendrick gnx,squabble up,squabble up kendrick,gnx lyrics,wacced out murals,reincarnated kendrick lyrics,lyrics kendrick lamar gnx,gnx kendrick lamar album lyrics,kendrick lamar gnx features,deyra barrera,new kendrick album,gnx kendrick,reincarnated kendrick lamar,jessica vosk,gnx kendrick lamar lyrics,kendrick new album,kendrick lamar album,kendrick album,dodger blue kendrick lamar,drake,kendrick lamar lyrics gnx,heart part 6,kendrick lamar albums,dodger blue kendrick,gnx kendrick lamar features,gnx kendrick lamar genius,gnx album,kendrick lamar reincarnated,peekaboo kendrick lamar,kendrick lamar gnx album,kendrick lamar gnx lyrics,gnx lyrics kendrick lamar,kendrick lamar gnx genius,kendrick lamar luther,dodger blue lyrics,kendrick albums,kendrick lamar gnx tracklist","https://trends.google.com/trends/explore?q=gnx&geo=US&hl=en"
